"KEY","en","notes","sp","fr","de","it","pt-br","ru","ko","ja","zh"
"PASSIVE_HEAVEHOOK_MULTICLASS_DESC","Your hook can target tiles.
Units pulled by your hook gain trample while being hooked.
[s:.7](Equips a temporary hook if you dont have one)[/s]","","El gancho puede marcar casillas como objetivo.
Las unidades que atraiga sufren pisotón mientras son atraídas.
[s:.7](Se equipa con un gancho temporal si la unidad no tiene ninguno).[/s]","Votre crochet peut cibler des cases. Les unités tirées par votre crochet obtiennent Piétinement tant qu'elles sont accrochées.
[s:.7](Équipe un crochet temporaire si vous n'en avez pas)[/s]","Dein Haken kann Felder anvisieren.
Einheiten erhalten Trampel, während sie von deinem Haken gezogen werden.
[s:.7](Rüstet vorübergehend einen Haken aus, wenn du keinen hast)[/s]","Il tuo gancio può prendere di mira le caselle.
Le unità trascinate dal tuo gancio ottengono Calpestamento durante il trascinamento.
[s:.7](Equipaggia un gancio temporaneo se non ne possiedi uno)[/s]","Você pode enganchar espaços específicos.
Unidades puxadas pelo seu gancho obtém atropelamento enquanto estão sendo puxadas.
[s:.7](Equipe um gancho temporário se não possui um)[/s]","Ваш крюк может нацеливаться на клетки.
Притянутые крюком юниты получают затаптывание во время притягивания.
[s:.7](Экипирует временный крюк, если у вас его нет)[/s]","","",""
"PASSIVE_HEAVEHOOK2_MULTICLASS_DESC","Your hook can target tiles.
Units pulled by your hook gain trample while being hooked, this trample damage is doubled.
[s:.7](Equips a temporary hook if you dont have one)[/s]","","El gancho puede marcar casillas como objetivo.
Las unidades que atraiga sufren pisotón mientras son atraídas y se duplica el daño de este pisotón.
[s:.7](Se equipa con un gancho temporal si la unidad no tiene ninguno).[/s]","Votre crochet peut cibler des cases. Les unités tirées par votre crochet obtiennent Piétinement avec dégâts doublés tant qu'elles sont accrochées.
[s:.7](Équipe un crochet temporaire si vous n'en avez pas)[/s]","Dein Haken kann Felder anvisieren.
Einheiten erhalten Trampel, während sie von deinem Haken gezogen werden. Der Trampelschaden wird verdoppelt.
[s:.7](Rüstet vorübergehend einen Haken aus, wenn du keinen hast)[/s]","Il tuo gancio può prendere di mira le caselle.
Le unità trascinate dal tuo gancio ottengono Calpestamento durante il trascinamento. Il danno dovuto a Calpestamento è raddoppiato.
[s:.7](Equipaggia un gancio temporaneo se non ne possiedi uno)[/s]","Você pode enganchar espaços específicos.
Unidades puxadas pelo seu gancho obtém atropelamento enquanto estão sendo puxadas. O dano de atropelamento é dobrado.
[s:.7](Equipe um gancho temporário se não possui um)[/s]","Ваш крюк может нацеливаться на клетки.
Притянутые крюком юниты получают затаптывание во время притягивания, урон от затаптывания удвоен.
[s:.7](Экипирует временный крюк, если у вас его нет)[/s]","","",""
"PASSIVE_HARPOONER_NAME","Harpooner","","Arponero","Harponnage","Harpunier","Fiociniere","Arpão","Гарпунщик","","",""
"PASSIVE_HARPOONER_DESC","When an enemy moves in range, hook it.","","Cuando un enemigo se mueve dentro de su radio de alcance, lo atrae con el gancho.","Quand un ennemi arrive à portée, attrapez-le avec le crochet.","Wenn ein Gegner sich innerhalb deiner Reichweite bewegt, verschießt du deinen Haken.","Quando un nemico entra nel raggio d'azione, lo agganci.","Enganche qualquer inimigo que se mover dentro do seu alcance.","Когда враг входит в зону досягаемости, притяните его крюком.","","",""
"PASSIVE_HARPOONER2_DESC","When an enemy moves in range, hook it. Your hook deals +2 Damage.","","Cuando un enemigo se mueve dentro de su radio de alcance, lo atrae con el gancho. El gancho inflige +2 de daño.","Quand un ennemi arrive à portée, attrapez-le avec le crochet. Votre crochet inflige Dégâts&nbsp;+2.","Wenn ein Gegner sich innerhalb deiner Reichweite bewegt, verschießt du deinen Haken. Dein Haken verursacht +2&nbsp;Schaden.","Quando un nemico entra nel raggio d'azione, lo agganci. Il tuo gancio infligge +2 di danno.","Enganche qualquer inimigo que se mover dentro do seu alcance. Seu gancho causa +2 de dano.","Когда враг входит в зону досягаемости, притяните его крюком. Ваш крюк наносит +2 к урону.","","",""
"PASSIVE_HARPOONER_MULTICLASS_DESC","When an enemy moves in range, attack it with your weapon.","","Cuando un enemigo se mueve dentro de su radio de alcance, le ataca con el arma.","Quand un ennemi arrive à portée, attaquez-le avec votre arme.","Wenn ein Gegner sich innerhalb deiner Reichweite bewegt, greifst du ihn mit deiner Waffe an.","Quando un nemico entra nel raggio d'azione, lo attacchi con la tua arma.","Ataque com sua arma qualquer inimigo que se mover dentro do seu alcance.","Когда враг входит в зону досягаемости, атакуйте его оружием.","","",""
"PASSIVE_HARPOONER2_MULTICLASS_DESC","When an enemy moves in range, attack it with your weapon. Your weapon deals +2 Damage.","","Cuando un enemigo se mueve dentro de su radio de alcance, le ataca con el arma. El arma inflige +2 de daño.","Quand un ennemi arrive à portée, attaquez-le avec votre arme. Votre arme inflige Dégâts&nbsp;+2.","Wenn ein Gegner sich innerhalb deiner Reichweite bewegt, greifst du ihn mit deiner Waffe an. Deine Waffe verursacht +2&nbsp;Schaden.","Quando un nemico entra nel raggio d'azione, lo attacchi con la tua arma. La tua arma infligge +2 di danno.","Ataque com sua arma qualquer inimigo que se mover dentro do seu alcance. Sua arma causa +2 de dano.","Когда враг входит в зону досягаемости, атакуйте его оружием. Ваше оружие наносит +2 к урону.","","",""
"PASSIVE_LORDOFTHEFLIES_NAME","Lord of the Flies","","Señor de las moscas","Sa Majesté des mouches","Herr der Fliegen","Il Signore delle Mosche","Senhor das Moscas","Повелитель мух","","",""
"PASSIVE_LORDOFTHEFLIES_DESC","All flies are Charmed and get +1 Damage.
Whenever you inflict Rot, you inflict +1 Rot.","","Todas las moscas sufren embrujo y +1 de daño.
Cuando inflige putrefacción, inflige +1 de putrefacción.","Toutes les mouches sont en état Envoûtement et gagnent Dégâts&nbsp;+1. Quand vous infligez Décomposition, infligez Décomposition&nbsp;+1.","Alle Fliegen erleiden Charme und erhalten +1&nbsp;Schaden.
Immer, wenn du Fäulnis verursachst, verursachst du +1&nbsp;Fäulnis.","Tutte le mosche subiscono Ammaliamento e ottengono +1 al Danno.
Ogni volta che infliggi Putrefazione, infliggi +1 di danno.","Todas as moscas são enfeitiçadas e obtêm +1 de dano.
Sempre que aplicar apodrecimento, você aplica +1 de apodrecimento.","Все мухи Очарованы и получают +1 к урону.
При наложении Гнили вы накладываете +1 Гниль.","","",""
"PASSIVE_LORDOFTHEFLIES2_DESC","All flies are Charmed and get +4 Damage.
Whenever you inflict Rot, you inflict +1 Rot.","","Todas las moscas sufren embrujo y +4 de daño.
Cuando inflige putrefacción, inflige +1 de putrefacción.","Toutes les mouches sont en état Envoûtement et gagnent Dégâts&nbsp;+4. Quand vous infligez Décomposition, infligez Décomposition&nbsp;+1.","Alle Fliegen erleiden Charme und erhalten +4&nbsp;Schaden.
Immer, wenn du Fäulnis verursachst, verursachst du +1&nbsp;Fäulnis.","Tutte le mosche subiscono Ammaliamento e ottengono +4 al Danno.
Ogni volta che infliggi Putrefazione, infliggi +1 di danno.","Todas as moscas são enfeitiçadas e obtêm +4 de dano.
Sempre que aplicar apodrecimento, você aplica +1 de apodrecimento.","Все мухи Очарованы и получают +4 к урону.
При наложении Гнили вы накладываете +1 Гниль.","","",""
"PASSIVE_SCHADENFREUDE_NAME","Schadenfreude","","Schadenfreude","Schadenfreude","Schadenfreude","Schadenfreude","Schadenfreude","Злорадство","","",""
"PASSIVE_SCHADENFREUDE_DESC","Your [img:str] and [img:con] are increased by 2 for each disorder your party has.","","El [img:str] y el [img:con] aumentan en 2 por cada trastorno que tenga el grupo.","Vos points de [img:str] et [img:con] sont augmentés de&nbsp;2&nbsp;pour chaque Trouble dans votre équipe.","Für jede Störung, unter der deine Gruppe leidet, sind deine [img:str] und [img:con] um 2 erhöht.","La tua [img:str] e la tua [img:con] aumentano di 2 per ogni disturbo presente nel tuo gruppo.","Sua [img:str] e [img:con] são aumentadas em 2 para cada transtorno que seu grupo possui.","Ваши [img:str] и [img:con] увеличены на 2 за каждое расстройство в вашей группе.","","",""
"PASSIVE_SCHADENFREUDE2_DESC","All of your stats are increased by 2 for each disorder your party has.","","Todos los atributos aumentan en 2 por cada trastorno que tenga el grupo.","Toutes vos stats sont augmentées de&nbsp;2&nbsp;pour chaque Trouble dans votre équipe.","Für jede Störung, unter der deine Gruppe leidet, sind all deine Attribute um 2 erhöht.","Tutte le tue statistiche aumentano di 2 per ogni disturbo presente nel tuo gruppo.","Todos os seus atributos são aumentados em 2 para cada transtorno que seu grupo possui.","Все ваши характеристики увеличены на 2 за каждое расстройство в вашей группе.","","",""
"PASSIVE_GURGITATOR_NAME","Gurgitator","","Regurgitación","Gargantua","Würger","Rigurgitatore","Gurgitação","Пожиратель","","",""
"PASSIVE_GURGITATOR_DESC","Whenever you heal over your max HP, gain +1 [img:str].","","Cuando los PS recuperados superan el máximo, obtiene +1 [img:str].","[img:str]&nbsp;+1&nbsp;quand vous vous soignez au-delà de vos PV max.","Erhalte immer, wenn du mehr als deine max. LP geheilt wirst, +1&nbsp;[img:str].","Ogni volta che ti curi oltre i tuoi PS massimi, ottieni +1 alla [img:str].","Sempre que se curar acima de sua saúde máxima, obtenha +1 de [img:str].","При лечении сверх макс. ОЗ получите +1 [img:str].","","",""
"PASSIVE_GURGITATOR2_DESC","Whenever you heal over your max HP, gain +1 [img:str] and +1 Weapon Damage.","","Cuando los PS recuperados superan el máximo, obtiene +1 [img:str] y +1 de daño de arma.","[img:str]&nbsp;+1&nbsp;et Dégâts d'arme&nbsp;+1&nbsp;quand vous vous soignez au-delà de vos PV max.","Erhalte immer, wenn du mehr als deine max. LP geheilt wirst, +1&nbsp;[img:str] und +1&nbsp;Waffenschaden.","Ogni volta che ti curi oltre i tuoi PS massimi, ottieni +1 alla [img:str] e +1 al Danno da Arma.","Sempre que se curar acima de sua saúde máxima, obtenha +1 de [img:str] e +1 de dano de armas.","При лечении сверх макс. ОЗ получите +1 [img:str] и +1 к урону оружия.","","",""
"PASSIVE_LOOSEMEAT_NAME","Loose Meat","","Carne suelta","Viande en vrac","Lockeres Fleisch","Carne Macinata","Carne Solta","Рыхлое мясо","","",""
"PASSIVE_LOOSEMEAT_DESC","When you take damage, spawn a food pickup.","","Al sufrir daño, genera un recogible de comida.","Quand vous subissez des dégâts, fait apparaître de la nourriture.","Lasse einen Essensgegenstand erscheinen, wenn du Schaden erleidest.","Quando subisci danno, generi un raccoglibile cibo.","Sempre que você sofrer dano, gere um coletável de comida.","При получении урона создаётся подбираемая еда.","","",""
"PASSIVE_LOOSEMEAT2_DESC","When you take damage or move, spawn a food pickup.","","Al sufrir daño o moverse, genera un recogible de comida.","Quand vous subissez des dégâts ou vous déplacez, fait apparaître de la nourriture.","Lasse einen Essensgegenstand erscheinen, wenn du Schaden erleidest oder dich bewegst.","Quando subisci danno o ti muovi, generi un raccoglibile cibo.","Sempre que você sofrer dano ou se mover, gere um coletável de comida.","При получении урона или перемещении создаётся подбираемая еда.","","",""
"PASSIVE_HACK_NAME","Hack","","Hackeo","Crack","Hacken","Intromissione","Entalhar","Взлом","","",""
"PASSIVE_HACK_DESC","Your basic attack is always critical against enemies with [img:shield].
Your basic attack's critical hits remove buffs from units.","","El ataque básico siempre es crítico con enemigos con [img:shield].
Los golpes críticos del ataque básico eliminan las ventajas de las unidades.","Votre attaque de base fait toujours des coups critiques contre les ennemis avec [img:shield]. Les CC de votre attaque de base retirent les bonus des unités.","Dein Grundangriff trifft Gegner mit [img:shield] immer kritisch.
Die kritischen Treffer deines Grundangriffs entfernen Stärkungen.","Il tuo attacco base è sempre critico contro i nemici con [img:shield].
I colpi critici del tuo attacco base rimuovono i bonus dalle unità.","Seu ataque básico é sempre crítico contra inimigos com [img:shield].
Os golpes críticos de seu ataque básico removem fortalecimentos de unidades.","Ваша базовая атака всегда критическая по врагам с [img:shield].
Критические удары базовой атаки снимают усиления с юнитов.","","",""
"PASSIVE_HACK2_DESC","Your basic attack is always critical against enemies with [img:shield].
Your basic attack's critical hits remove buffs from units.
Your critical hits deal +100% damage.","","El ataque básico siempre es crítico con enemigos con [img:shield].
Los golpes críticos del ataque básico eliminan las ventajas de las unidades.
Los golpes críticos infligen un +100 % de daño.","Votre attaque de base fait toujours des coups critiques contre les ennemis avec [img:shield]. Les CC de votre attaque de base retirent les bonus des unités. Vos CC infligent +100&nbsp;% de dégâts.","Dein Grundangriff trifft Gegner mit [img:shield] immer kritisch.
Die kritischen Treffer deines Grundangriffs entfernen Stärkungen.
Deine kritischen Treffer verursachen +100&nbsp;% Schaden.","Il tuo attacco base è sempre critico contro i nemici con [img:shield].
I colpi critici del tuo attacco base rimuovono i bonus dalle unità.
I tuoi colpi critici infliggono +100% di danno.","Seu ataque básico é sempre crítico contra inimigos com [img:shield].
Os golpes críticos de seu ataque básico removem fortalecimentos de unidades.
Seus golpes críticos causam +100% de dano.","Ваша базовая атака всегда критическая по врагам с [img:shield].
Критические удары базовой атаки снимают усиления с юнитов.
Критические удары наносят +100% урона.","","",""
"PASSIVE_BOWLINGBALL_NAME","Bowling Ball","","Bola de bolos","Boule de bowling","Bowlingkugel","Palla da Bowling","Bola de Boliche","Шар для боулинга","","",""
"PASSIVE_BOWLINGBALL_DESC","Adjacent and diagonal allied cats get the bonus ability Bowl.","","Los aliados adyacentes y en diagonal obtienen la habilidad de bonificación Bolo.","Les chats alliés adjacents et en diagonale obtiennent la compétence bonus Bowling.","Benachbarte und diagonal benachbarte verbündete Katzen erhalten die Bonusfähigkeit Bowling.","I gatti alleati adiacenti e diagonali ottengono l'abilità bonus Bowling.","Gatos aliados adjacentes e diagonais obtêm a habilidade bônus Boliche.","Соседние и диагональные коты-союзники получают бонусную способность Боулинг.","","",""
"PASSIVE_BOWLINGBALL2_DESC","Adjacent and diagonal allied cats get the bonus ability Bowl+.","","Los aliados adyacentes y en diagonal obtienen la habilidad de bonificación Bolo+.","Les chats alliés adjacents et en diagonale obtiennent la compétence bonus Bowling+.","Benachbarte und diagonal benachbarte verbündete Katzen erhalten die Bonusfähigkeit Bowling+.","I gatti alleati adiacenti e diagonali ottengono l'abilità bonus Bowling+.","Gatos aliados adjacentes e diagonais obtêm a habilidade bônus Boliche+.","Соседние и диагональные коты-союзники получают бонусную способность Боулинг+.","","",""
"PASSIVE_TESTY_NAME","Testy","","Mal humor","Bougeotte","Reizbar","Irascibilità","Irritabilidade","Раздражительный","","",""
"PASSIVE_TESTY_DESC","When you take damage, gain +1 movement range until the end of your turn.","","Al sufrir daño, obtiene +1 de alcance del movimiento hasta el final del turno.","Quand vous subissez des dégâts, gagnez&nbsp;+1&nbsp;de portée de déplacement jusqu'à la fin du tour.","Erhalte bis zum Ende deines Zuges +1&nbsp;Bewegungsreichweite, wenn du Schaden erleidest.","Quando subisci danno, ottieni +1 al raggio di movimento fino alla fine del tuo turno.","Ao sofrer dano, obtenha +1 de alcance de movimento até o fim do seu turno.","При получении урона +1 к дальности перемещения до конца хода.","","",""
"PASSIVE_TESTY2_DESC","When you take damage, gain +1 movement range.","","Al sufrir daño, obtiene +1 de alcance del movimiento.","Quand vous subissez des dégâts, gagnez&nbsp;+1&nbsp;de portée de déplacement.","Erhalte +1&nbsp;Bewegungsreichweite, wenn du Schaden erleidest.","Quando subisci danno, ottieni +1 al raggio di movimento.","Ao sofrer dano, obtenha +1 de alcance de movimento.","При получении урона +1 к дальности перемещения.","","",""
"PASSIVE_INDIGESTION_NAME","Indigestion","","Indigestión","Indigestion","Magenverstimmung","Indigestione","Indigestão","Несварение","","",""
"PASSIVE_INDIGESTION_DESC","Whenever you heal over your max HP, fart and inflict Poison 3 on adjacent units.","","Cuando los PS recuperados superan el máximo, se tira un pedo e inflige 3 de veneno a las unidades adyacentes.","Quand vous vous soignez au-delà de vos PV max., pétez et infligez Poison&nbsp;+3&nbsp;aux unités adjacentes.","Furze und verursache Gift&nbsp;3 bei benachbarten Einheiten, wenn du mehr als deine max. LP geheilt wirst.","Ogni volta che ti curi oltre i tuoi PS massimi, scoreggi e infliggi Veleno 3 alle unità adiacenti.","Sempre que você se curar acima de sua saúde máxima, solte um pum e aplique veneno 3 em unidades adjacentes.","При лечении сверх макс. ОЗ испустите газы и наложите Яд 3 на соседних юнитов.","","",""
"PASSIVE_INDIGESTION2_DESC","Whenever you heal over your max HP, fart and inflict Poison 3 and Burn 3 on adjacent units.","","Cuando los PS recuperados superan el máximo, se tira un pedo e inflige 3 de veneno y 3 de quemadura a las unidades adyacentes.","Quand vous vous soignez au-delà de vos PV max., pétez et infligez Poison&nbsp;+3&nbsp;et Brûlure&nbsp;+3&nbsp;aux unités adjacentes.","Furze und verursache Gift&nbsp;3 und Verbrennung&nbsp;3 bei benachbarten Einheiten, wenn du mehr als deine max. LP geheilt wirst.","Ogni volta che ti curi oltre i tuoi PS massimi, scoreggi e infliggi Veleno 3 e Bruciatura 3 alle unità adiacenti.","Sempre que você se curar acima de sua saúde máxima, solte um pum e aplique veneno 3 e queimadura 3 em unidades adjacentes.","При лечении сверх макс. ОЗ испустите газы и наложите Яд 3 и Ожог 3 на соседних юнитов.","","",""
"PASSIVE_INCUBATOR_NAME","Incubator","","Incubadora","Incubation","Brutmaschine","Incubatrice","Incubação","Инкубатор","","",""
"PASSIVE_INCUBATOR_DESC","Whenever you heal over your max HP, spawn a rot fly.","","Cuando los PS recuperados superan el máximo, genera una mosca de putrefacción.","Quand vous vous soignez au-delà de vos PV max., fait apparaître une mouche putride.","Lasse eine Fäulnisfliege erscheinen, wenn du mehr als deine max. LP geheilt wirst.","Ogni volta che ti curi oltre i tuoi PS massimi, generi una mosca putrefatta.","Sempre que você se curar acima de sua saúde máxima, gere uma mosca apodrecida.","При лечении сверх макс. ОЗ создаётся гнилая муха.","","",""
"PASSIVE_INCUBATOR2_DESC","Whenever you heal over your max HP, spawn a rot fly with HP and damage equal to the excess healing.","","Cuando los PS recuperados superan el máximo, genera una mosca de putrefacción con una cantidad de PS y daño igual al exceso de curación.","Quand vous vous soignez au-delà de vos PV max., fait apparaître une mouche putride avec PV et Dégâts équivalents au surplus de soin.","Lasse eine Fäulnisfliege erscheinen, wenn du mehr als deine max. LP geheilt wirst. Ihre LP und ihr Schaden sind so hoch, wie die überschüssige Heilung.","Ogni volta che ti curi oltre i tuoi PS massimi, generi una mosca putrefatta con PS e danno pari alla quantità di cura in eccesso.","Sempre que você se curar acima de sua saúde máxima, gere uma mosca apodrecida com saúde e dano equivalente ao excesso de cura.","При лечении сверх макс. ОЗ создаётся гнилая муха с ОЗ и уроном равным избытку лечения.","","",""
"PASSIVE_DUKEOFFLIES_NAME","Duke of Flies","","Duque de las moscas","Son Altesse des mouches","Herzog der Fliegen","Duca delle Mosche","Duque das Moscas","Герцог мух","","",""
"PASSIVE_DUKEOFFLIES_DESC","At the end of the battle, all food pickups become allied flies.
Allied flies stay with you between battles.","","Al final del combate, todos los recogibles de comida se convierten en moscas aliadas.
Las moscas aliadas permanecen en el grupo de un combate a otro.","À la fin du combat, toute la nourriture se transforme en mouches alliées. Les mouches alliées restent avec vous entre les combats.","Am Ende des Kampfes werden alle Essensgegenstände zu verbündeten Fliegen.
Verbündete Fliegen bleiben im nächsten Kampf erhalten.","Alla fine della battaglia, tutti i raccoglibili cibo si trasformano in mosche alleate.
Le mosche alleate restano con te anche al termine di una battaglia.","No final da batalha, todos os coletáveis de comida se tornam moscas aliadas.
Moscas aliadas permanecem com você entre batalhas.","В конце боя вся подбираемая еда превращается в союзных мух.
Союзные мухи остаются с вами между боями.","","",""
"PASSIVE_DUKEOFFLIES2_DESC","At the end of the battle, all food pickups become allied flies.
Allied flies stay with you between battles.
Your basic attack spawns flies.","","Al final del combate, todos los recogibles de comida se convierten en moscas aliadas.
Las moscas aliadas permanecen en el grupo de un combate a otro.
El ataque básico genera moscas.","À la fin du combat, toute la nourriture se transforme en mouches alliées. Les mouches alliées restent avec vous entre les combats. Vos attaques de base font apparaître des mouches.","Am Ende des Kampfes werden alle Essensgegenstände zu verbündeten Fliegen.
Verbündete Fliegen bleiben im nächsten Kampf erhalten.
Dein Grundangriff lässt Fliegen erscheinen.","Alla fine della battaglia, tutti i raccoglibili cibo si trasformano in mosche alleate.
Le mosche alleate restano con te anche al termine di una battaglia.
Il tuo attacco base genera mosche.","No final da batalha, todos os coletáveis de comida se tornam moscas aliadas.
Moscas aliadas permanecem com você entre batalhas.
Seu ataque básico gera moscas.","В конце боя вся подбираемая еда превращается в союзных мух.
Союзные мухи остаются с вами между боями.
Ваша базовая атака порождает мух.","","",""
"//fighter","","","","","","","","","","",""
"PASSIVE_FRENZY_NAME","Frenzy","","Locura","Frénésie","Raserei","Frenesia","Frenesi","Бешенство","","",""
"PASSIVE_FRENZY_DESC","When you down a unit, gain +2 [img:str].","","Al abatir a una unidad, obtiene +2 [img:str].","[img:str]&nbsp;+2&nbsp;quand vous tuez une unité.","Erhalte +2&nbsp;[img:str], wenn du eine Einheit tötest.","Quando mandi KO un'unità, ottieni +2 alla [img:str].","Ao deixar uma unidade inconsciente, obtenha +2 de [img:str].","При уничтожении юнита получите +2 [img:str].","","",""
"PASSIVE_FRENZY2_DESC","When you down a unit, gain +2 [img:str] and +2 [img:spd].","","Al abatir a una unidad, obtiene +2 [img:str] y +2 [img:spd].","[img:str]&nbsp;+2&nbsp;et [img:spd]&nbsp;+2&nbsp;quand vous tuez une unité.","Erhalte +2&nbsp;[img:str] und +2&nbsp;[img:spd], wenn du eine Einheit tötest.","Quando mandi KO un'unità, ottieni +2 alla [img:str] e +2 alla [img:spd].","Ao deixar uma unidade inconsciente, obtenha +2 de [img:str] e +2 de [img:spd].","При уничтожении юнита получите +2 [img:str] и +2 [img:spd].","","",""
"PASSIVE_AVENGER_NAME","Avenger","","Venganza","Vengeance","Rächer","Vendetta","Vingador","Мститель","","",""
"PASSIVE_AVENGER_DESC","When an allied cat is downed, gain All Stats Up 2 and heal 8.","","Cuando una unidad aliada está abatida, obtiene 2 de aumento total, recupera 8 PS.","Quand un chat allié est mis K.O., gagnez Hausse de stats&nbsp;+2&nbsp;et soignez-vous de 8.","Erhalte einen Bonus von 2 auf alle Attribute und heile dich um 8&nbsp;LP, wenn eine verbündete Katze in Ohnmacht fällt.","Quando un gatto alleato va KO, ottieni Aumento delle Statistiche 2 e ti curi di 8 PS.","Quando um gato aliado fica inconsciente, obtenha todos os atributos aumentados 2 e cure 8 PV.","Когда кот-союзник повержен, получите повышение всех характеристик на 2 и исцеление на 8.","","",""
"PASSIVE_AVENGER2_DESC","When an allied cat is downed, gain All Stats Up 2, heal 50% of your max HP, and take an extra turn.","","Cuando una unidad aliada está abatida, obtiene 2 de aumento total, recupera un 50 % de sus PS máximos y juega un turno extra.","Quand un chat allié est mis K.O., gagnez Hausse de stats&nbsp;+2, soignez 50&nbsp;% de vos PV max. et jouez un tour supplémentaire.","Erhalte einen Bonus von 2 auf alle Attribute und heile dich um 50&nbsp;% deiner max. LP und erhalte einen zusätzlichen Zug, wenn eine verbündete Katze in Ohnmacht fällt.","Quando un gatto alleato va KO, ottieni Aumento delle Statistiche 2, ti curi del 50% dei tuoi PS massimi ed effettui un turno aggiuntivo.","Quando um gato aliado fica inconsciente, obtenha todos os atributos aumentados 2, cure 50% da sua saúde máxima e ganhe um turno adicional.","Когда кот-союзник повержен, получите повышение всех характеристик на 2, исцеление на 50% макс. ОЗ и дополнительный ход.","","",""
"PASSIVE_SCARS_NAME","Scars","","Cicatrices","Balafres","Narben","Cicatrici","Cicatrizes","Шрамы","","",""
"PASSIVE_SCARS_DESC","+1 Brace.","","+1 de refuerzo.","Garde&nbsp;+1.","+1&nbsp;Wappnen.","+1 alla Guardia.","+1 de preparação.","+1 к Стойке.","","",""
"PASSIVE_SCARS2_DESC","+3 Brace.","","+3 de refuerzo.","Garde&nbsp;+3.","+3&nbsp;Wappnen.","+3 alla Guardia.","+3 de preparação.","+3 к Стойке.","","",""
"PASSIVE_HULKUP_NAME","Hulk Up","","Musculitos","Rogne","Auftürmer","Come Hulk","Enfurecimento","Раскачка","","",""
"PASSIVE_HULKUP_DESC","When you take damage, gain +2 [img:spd].","","Al sufrir daño, obtiene +2 [img:spd].","[img:spd]&nbsp;+2&nbsp;quand vous subissez des dégâts.","Erhalte +2&nbsp;[img:spd], wenn du Schaden erleidest.","Quando subisci danno, ottieni +2 alla [img:spd].","Ao sofrer dano, obtenha +2 de [img:spd].","При получении урона получите +2 [img:spd].","","",""
"PASSIVE_HULKUP2_DESC","When you take damage, gain +2 [img:spd] and +10% dodge. This caps at 50%.","","Al sufrir daño, obtiene +2 [img:spd] y un +10 % de esquiva con un límite del 50 %.","[img:spd]&nbsp;+2&nbsp;et +10&nbsp;% d'esquive quand vous subissez des dégâts (max.&nbsp;: 50&nbsp;%).","Erhalte +2&nbsp;[img:spd] und +10&nbsp;% Ausweichen, wenn du Schaden erleidest. Max. 50&nbsp;%.","Quando subisci danno, ottieni +2 alla [img:spd] e +10% alla schivata (fino a un massimo del 50%).","Ao sofrer dano, obtenha +2 de [img:spd] e 10% de esquiva. Limite de 50%.","При получении урона получите +2 [img:spd] и +10% к уклонению. Максимум 50%.","","",""
"PASSIVE_FERVOR_NAME","Fervor","","Fervor","Ferveur","Inbrunst","Fervore","Fervor","Пыл","","",""
"PASSIVE_FERVOR_DESC","When you down a unit, you heal 5 HP.","","Al abatir a una unidad, recupera 5 PS.","Quand vous tuez une unité, soignez 5&nbsp;PV.","Heile dich um 5&nbsp;LP, wenn du eine Einheit tötest.","Quando mandi KO un'unità, recuperi 5 PS.","Ao deixar uma unidade inconsciente, cure 5 PV.","При уничтожении юнита вы исцеляетесь на 5 ОЗ.","","",""
"PASSIVE_FERVOR2_DESC","When you down a unit, you heal 50% of your HP.","","Al abatir a una unidad, recupera un 50 % de sus PS.","Quand vous tuez une unité, soignez 50&nbsp;% de vos PV.","Heile dich um 50&nbsp;% deiner LP, wenn du eine Einheit tötest.","Quando mandi KO un'unità, recuperi il 50% dei tuoi PS.","Ao deixar uma unidade inconsciente, cure 50% da sua saúde.","При уничтожении юнита вы исцеляетесь на 50% ОЗ.","","",""
"PASSIVE_VENGEFUL_NAME","Vengeful","","Resarcimiento","Revanche","Rachsüchtig","Rappresaglia","Vingança","Мстительный","","",""
"PASSIVE_VENGEFUL_DESC","Your basic attack is always critical on enemies that have damaged you.","","El ataque básico siempre es crítico contra enemigos que le han infligido daño.","Votre attaque de base inflige toujours des coups critiques aux ennemis qui vous ont infligé des dégâts.","Dein Grundangriff trifft Gegner immer kritisch, die dir Schaden zugefügt haben.","Il tuo attacco base è sempre critico contro i nemici che ti hanno inflitto danno.","Seu ataque básico é sempre crítico contra inimigos que causaram dano a você.","Ваша базовая атака всегда критическая по врагам которые вас ранили.","","",""
"PASSIVE_VENGEFUL2_DESC","Your basic attack is always critical on enemies units that have damaged you.
Inflict Marked on units that contact or attack you.","","El ataque básico siempre es crítico contra enemigos que le han infligido daño.
Inflige punto de mira a las unidades que entran en contacto con esta o la atacan.","Votre attaque de base inflige toujours des coups critiques aux ennemis qui vous ont infligé des dégâts. Applique une Marque sur les unités qui vous attaquent ou vous touchent.","Dein Grundangriff trifft Gegner immer kritisch, die dir Schaden zugefügt haben.
Verursache Markiert bei Einheiten, die dich berühren oder angreifen.","Il tuo attacco base è sempre critico contro i nemici che ti hanno inflitto danno.
Infliggi Marchio alle unità che entrano in contatto con te o ti attaccano.","Seu ataque básico é sempre crítico contra inimigos que causaram dano a você.
Aplique marcação em unidades que atacarem ou entrarem em contato com você.","Ваша базовая атака всегда критическая по врагам которые вас ранили.
Накладывает Метку на юнитов при контакте или атаке.","","",""
"PASSIVE_HAMSTERSTYLE_NAME","Hamster Style","","Estilo del hámster","Style hamster","Hamsterstil","Stile da Criceto","Estilo do Hamster","Стиль хомяка","","",""
